network,offer_id,program_name,advertiser,category,niche_display,price,commission_type,commission_value,cookie_days,geo_targets,score,tracking_link,description
partnerstack,10367,Parim Workforce Software,Parim Workforce Software,health-monitoring,"Health Monitoring (CGM, BP, Sleep)",,percentage,25.0%,90,US|CA|UK|AU,95.0,,"Parim is a modern workforce management platform for shift-based industries, combining scheduling, time & attendance, compliance, communication and payroll-ready data in one system. It’s scalable, easy"
partnerstack,10312,Confido Health,Confido Health,health-monitoring,"Health Monitoring (CGM, BP, Sleep)",,percentage,20.0%,90,US|CA|UK|AU,95.0,,"Confido Health’s 24/7 Healthcare Voice AI Agents work alongside your team, handling calls and updating your EHR/PMS in real time so staff can focus on care. Our agents streamline pre-visit coordinatio"
partnerstack,9395,Jubilee,Jubilee,wellness,Wellness & Recovery,,percentage,80.0%,90,US|CA|UK|AU,95.0,,"Easily create beauty brand with premium white label dropshipping products from US suppliers. Explore private label makeup, cosmetics, and white label beauty products."
partnerstack,9286,NexGen Technologies LLC,NexGen Technologies LLC,ergonomics,Ergonomics & Workspace,,percentage,15.0%,90,US|CA|UK|AU,95.0,,"NexGen Virtual Workplace transforms all work environments from remote, hybrid to in-office. Now workforces can enjoy working in a creative immersive virtual workplaces that strengthens connection, col"
partnerstack,10284,WestFax,WestFax,health-monitoring,"Health Monitoring (CGM, BP, Sleep)",,fixed,200.0$,90,US|CA|UK|AU,85.0,,"WestFax provides HIPAA-compliant cloud faxing built for enterprise healthcare organizations. We deliver high fax completion rates, enterprise-grade reliability, and responsive human support - helping "
partnerstack,10213,Consentz,Consentz,wellness,Wellness & Recovery,,fixed,250.0$,90,US|CA|UK|AU,85.0,,"Consentz is the platform that transforms how beauty and wellness clinics operate – patient bookings, medical records, and marketing tools all in one place. Recommend something your audience will thank"
partnerstack,10173,Functional Diagnostic Nutrition,Functional Diagnostic Nutrition,supplements,Supplements & Nootropics,,fixed,1500.0$,90,US|CA|UK|AU,85.0,,"FDN is the recognized leader in functional health education. Our proven 'D.R.E.S.S. for Success' methodology has trained over 5,000 practitioners to escape trial-and-error and build 6- & 7-figure prac"
partnerstack,10172,Heard,Heard,wellness,Wellness & Recovery,,fixed,1000.0$,90,US|CA|UK|AU,85.0,,"Heard is the only accounting platform built for mental health and wellness providers, combining bookkeeping, taxes, and payroll in one place. Providers using Heard save an average of 60 hours a year a"
partnerstack,10005,Every,Every,ergonomics,Ergonomics & Workspace,,fixed,1000.0$,90,US|CA|UK|AU,85.0,,"Your back office, built to grow with you. From banking and treasury to payroll, accounting, and taxes—Every.io gives you everything you need to launch, operate, and scale with confidence."
partnerstack,9810,Kisi,Kisi,ergonomics,Ergonomics & Workspace,,fixed,500.0$,90,US|CA|UK|AU,85.0,,"Kisi provides a cloud-based access control system that lets organizations manage building entry digitally. Using mobile credentials, keycards, and connected hardware, businesses can control, monitor, "
partnerstack,9540,Jane,Jane,wellness,Wellness & Recovery,,fixed,300.0$,90,US|CA|UK|AU,85.0,,"Jane is a clinic management software and EMR for health and wellness providers that helps them open, run, and grow their businesses."
partnerstack,9419,Healthie,Healthie,health-monitoring,"Health Monitoring (CGM, BP, Sleep)",,fixed,200.0$,90,US|CA|UK|AU,85.0,,"Industry-leading EMR, Scheduling, and Client Engagement platform for modern healthcare delivery."
